link,title,newspaper,category
https://abcnews.go.com/Sports/baylor-bears-rebuilding-effort-progresses-final-1950/story?id=76763800,Baylor Bears' rebuilding effort progresses into first Final Four since 1950,abc,sports
https://abcnews.go.com/Sports/timberwolves-karl-anthony-towns-reflects-emotional-night-father/story?id=76762686,Timberwolves' Karl-Anthony Towns reflects on 'emotional' night as father attends first game since Jackie Cruz-Towns' death,abc,sports
https://abcnews.go.com/Sports/dustin-david-price-grabs-starter-role-los-angeles/story?id=76762384,"Dustin May, not David Price, grabs fifth starter role as Los Angeles Dodgers prepare to defend title",abc,sports
https://abcnews.go.com/Sports/baylor-calls-foul-call-end-elite-loss-uconn/story?id=76762078,Baylor calls foul on non-call at end of Elite Eight loss to UConn,abc,sports
https://abcnews.go.com/Sports/kim-mulkey-baylor-lady-bears-ncaa-covid-19/story?id=76761673,"Kim Mulkey of Baylor Lady Bears says NCAA should do away with COVID-19 testing for Final Four,Rafael Stone: Stockpile of picks",abc,sports
https://abcnews.go.com/Sports/rafael-stone-stockpile-picks-young-core-houston-rockets/story?id=76759561,young core will keep Houston Rockets from having to go 'wholesale tank' mode,abc,sports
https://abcnews.go.com/Sports/andre-drummond-hunger-excitement-make-debut-los-angeles/story?id=76758414,"Andre Drummond has 'hunger and excitement' to make his debut with Los Angeles Lakers at long last,",abc,sports
https://abcnews.go.com/Sports/los-angeles-lakers-jeanie-buss-watching-brooklyn-nets/story?id=76758345,Los Angeles Lakers' Jeanie Buss after watching Brooklyn Nets' moves: 'Bring it on',abc,sports
https://abcnews.go.com/Sports/mlb-draft-pick-mark-appel-heads-minor-league/story?id=76758307,Former No. 1 MLB draft pick Mark Appel heads to minor league camp with Philadelphia Phillies in pursuit of a comeback,abc,sports
https://abcnews.go.com/Sports/niners-left-altar-staying-12-jimmy-garoppolo-best/story?id=76757597,"Niners didn't want to get 'left at altar' by staying at No. 12, believe Jimmy Garoppolo gives them best chance now",abc,sports
https://abcnews.go.com/Sports/texas-rangers-moving-rougned-odor-jose-leclerc-tommy/story?id=76757209,Texas Rangers moving on from Rougned Odor; Jose Leclerc to have Tommy John surgery,abc,sports
https://abcnews.go.com/Sports/sources-milwaukee-bucks-picking-reserve-guard-jeff-teague/story?id=76756575,Sources: Milwaukee Bucks picking up reserve guard Jeff Teague,abc,sports
https://abcnews.go.com/Sports/nba-sets-july-29-draft-determining-schedule-accompanying/story?id=76756077,"NBA sets July 29 for its draft, while also determining schedule for accompanying combine, lottery",abc,sports
https://abcnews.go.com/Sports/mlb-protocols-include-relaxed-covid-19-restrictions-vaccinated/story?id=76752159,"New MLB protocols include relaxed COVID-19 restrictions for vaccinated players, staff",abc,sports
https://abcnews.go.com/Sports/anthony-rizzo-ending-contract-talks-chicago-cubs-focus/story?id=76751997,Anthony Rizzo ending contract talks with Chicago Cubs to focus on season,abc,sports
"https://abcnews.go.com/Sports/south-carolinas-dawn-staley-texas-vic-schaefer-renew/story?id=76751866,",South Carolina's Dawn Staley and Texas' Vic Schaefer to renew old rivalry in NCAA women's hoops tourney,abc,sports
"https://abcnews.go.com/Sports/blake-griffin-joining-brooklyn-nets-changed-public-perceives/story?id=76751865,",Blake Griffin says joining Brooklyn Nets has changed how the public perceives him,abc,sports
https://abcnews.go.com/Sports/qb-trevor-lawrence-direction-jacksonville-jaguars-headed-pick/story?id=76751447,"QB Trevor Lawrence 'the direction' Jacksonville Jaguars are headed with No. 1 pick in NFL draft, says Urban Meyer",abc,sports
https://abcnews.go.com/Sports/qb-trevor-lawrence-direction-jacksonville-jaguars-headed-pick/story?id=76751318,"QB Trevor Lawrence 'the direction' Jacksonville Jaguars are headed with No. 1 pick, says Urban Meyer",abc,sports
https://abcnews.go.com/Sports/york-mets-pete-alonso-issue-nft-aid-minor/story?id=76750048,New York Mets' Pete Alonso to issue NFT to aid minor leaguers,abc,sports
"https://abcnews.go.com/Sports/lawsuit-accuses-deshaun-watson-deleting-instagram-messages-contacting/story?id=76750047,","Lawsuit accuses Deshaun Watson of deleting Instagram messages, contacting women in attempt to settle cases",abc,sports
https://abcnews.go.com/Sports/lawsuit-accuses-deshaun-watson-deleting-instagram-messages-contacting/story?id=76749828,"Lawsuit accuses Deshaun Watson of deleting Instagram messages, contacting accusers in attempt to settle cases",abc,sports
https://abcnews.go.com/Sports/nbas-basketball-africa-league-debut-16-rwanda/story?id=76749169,NBA's Basketball Africa League to debut May 16 in Rwanda,abc,sports
https://abcnews.go.com/Sports/sources-dustin-poirier-conor-mcgregor-iii-finalized-ufc/story?id=76748465,Sources: Dustin Poirier-Conor McGregor III to be finalized soon for UFC 264 in July,abc,sports
https://abcnews.go.com/Sports/st-louis-cardinals-3b-nolan-arenado-ive-moved/story?id=76747638,St. Louis Cardinals 3B Nolan Arenado says 'I've moved on' after being traded by Colorado Rockies,abc,sports
https://abcnews.go.com/Sports/st-louis-cardinals-3b-nolan-arenado-ive-moved/story?id=76747522,St. Louis Cardinals 3B Nolan Arenado says 'I've moved on' from being traded by Colorado Rockies,abc,sports
